Název souboru,Odkaz,Název,Kategorie
VY_32_INOVACE_38-06-01.xlsx,https://docs.google.com/spreadsheets/d/1nhf-7hq3jGiX5nZCVDgzDxJYjDIOSDAf/edit?usp=drivesdk&ouid=118181400249512939226&rtpof=true&sd=true,,VYT
VY_32_INOVACE_38-06.pdf,https://drive.google.com/file/d/1IoX3CQzn3FLgnC2BBzONn9P947bW4sfy/view?usp=drivesdk,Vzorce - funkce pro datum a čas,VYT
VY_32_INOVACE_30-10.pdf,https://drive.google.com/file/d/1lIpUfFyMr9oYfOVzCCUb0lQGuB8oVgI-/view?usp=drivesdk,RG - Práce ve vrstvách,VYT
VY_32_INOVACE_25-07.pdf,https://drive.google.com/file/d/1xvvHZSCGUlGjVe181qls5EKgTJ2sQ3QF/view?usp=drivesdk,Jednoduché příkazy jazyka Pascal,VYT
VY_32_INOVACE_30-08.pdf,https://drive.google.com/file/d/1rFHNw7wp2n4xIYSdEkUE7s2Rns5GvDBj/view?usp=drivesdk,Ovládání prezentace,VYT
VY_32_INOVACE_38-04.pdf,https://drive.google.com/file/d/1hSkfuupNC3hvsp52k8zmzGzh4YOUdNCU/view?usp=drivesdk,Vzorce - základní funkce,VYT
VY_32_INOVACE_25-05.pdf,https://drive.google.com/file/d/1OvQHn3nW4-RvEsWqEauGU-OqTDDaDfui/view?usp=drivesdk,Základní kostra programu v jazyce Pascal,VYT
VY_32_INOVACE_30-07.pdf,https://drive.google.com/file/d/1EsHRjcgCIaCHLxDbaOvyY342C5_2AkGI/view?usp=drivesdk,Efekty pro prezentace,VYT
VY_32_INOVACE_38-03-01.xlsx,https://docs.google.com/spreadsheets/d/1Ht2XXDT6OpTwDRBFMdRKa-7G5rtlhTs6/edit?usp=drivesdk&ouid=118181400249512939226&rtpof=true&sd=true,,VYT
VY_32_INOVACE_30-06.pdf,https://drive.google.com/file/d/1RBKHyUHLnH-L4_J4ysV8n0pfySFNkO7p/view?usp=drivesdk,Práce se snímky,VYT
VY_32_INOVACE_25-04.pdf,https://drive.google.com/file/d/1WVrJ1_uAY7vnjQXcTdWW5_i6CnWOCoBN/view?usp=drivesdk,Programovací jazyky,VYT
VY_32_INOVACE_38-01.pdf,https://drive.google.com/file/d/11AdHGfVUvL-L2xBfNu464LOL6tjyBgLp/view?usp=drivesdk,Úvod - základní pojmy a nastavení,VYT
VY_32_INOVACE_30-03.pdf,https://drive.google.com/file/d/124LEmIr0LX7JKj5-EEcZVMGEx5SR93Be/view?usp=drivesdk,Grafické formáty,VYT
VY_32_INOVACE_37-20.pdf,https://drive.google.com/file/d/1mJsS_Xd7kGqK0ppFDvTnyB8C4Hx3MaBJ/view?usp=drivesdk,Spolupráce s dalšími produkty MS Office,VYT
VY_32_INOVACE_30-01.pdf,https://drive.google.com/file/d/1mHX0Z1XAu2L748jXGq0-QKj-sGBqh5At/view?usp=drivesdk,Úvod do počítačové grafiky,VYT
VY_32_INOVACE_37-19.pdf,https://drive.google.com/file/d/1Ft0hgznxgkXvYapHIiBpUR0owCFqNdNp/view?usp=drivesdk,Tipy a triky,VYT
VY_32_INOVACE_37-18.pdf,https://drive.google.com/file/d/1U8hTqsLeDhuFwPx6k89yUMIy7_inXHKE/view?usp=drivesdk,Formuláře,VYT
VY_32_INOVACE_29-19.pdf,https://drive.google.com/file/d/1EJgc8mfefSViTOalHm23upaZsm512wxf/view?usp=drivesdk,3D tiskárny,VYT
VY_32_INOVACE_37-16.pdf,https://drive.google.com/file/d/1nJIzLFqnsyO6OT7FGIX_qTSRQVumQ-Jr/view?usp=drivesdk,Práce s rozsáhlým dokumentem,VYT
VY_32_INOVACE_29-18.pdf,https://drive.google.com/file/d/1kmd67QFCFbiX2H9nMnl13-cTIFmKCR_K/view?usp=drivesdk,Tiskárny,VYT
VY_32_INOVACE_29-17.pdf,https://drive.google.com/file/d/17aPrqLunX12iIoYFckIqN7N0eK7EgjpL/view?usp=drivesdk,Vizualizační technika,VYT
VY_32_INOVACE_37-14.pdf,https://drive.google.com/file/d/1xDwwYnbjFwGD7LPslZO1IkP1XtZg-wW1/view?usp=drivesdk,Webová stránka,VYT
VY_32_INOVACE_29-16.pdf,https://drive.google.com/file/d/1w0Nm6GCwOBjiQjwXaIUEoYbUmWiaY3Cp/view?usp=drivesdk,Zvukové karty (reproduktory),VYT
VY_32_INOVACE_29-15.pdf,https://drive.google.com/file/d/1h0BDDTeEEAvJtIJlbEf8akIzwDchk4SK/view?usp=drivesdk,Grafické karty,VYT
VY_32_INOVACE_37-12.pdf,https://drive.google.com/file/d/1EsNaYxnpkIpT5SP3WS40td0XvcTc5z2E/view?usp=drivesdk,Další objekty v MS Office (rovnice…),VYT
VY_32_INOVACE_37-11.pdf,https://drive.google.com/file/d/17FFwYIohMQv7p9h9-yAUAEQef8LR3hnT/view?usp=drivesdk,Grafika v MS Office - úprava objektů,VYT
VY_32_INOVACE_29-13.pdf,https://drive.google.com/file/d/1AX74dYo7BCqxo_QUptLhl50f8RaFYoml/view?usp=drivesdk,Digitální fotoaparáty a kamery,VYT
VY_32_INOVACE_37-10.pdf,https://drive.google.com/file/d/1Xfbz_C7wELHgUQdgA-w3Vb5FfiQsKY7M/view?usp=drivesdk,Grafika v MS Office - typy objektů,VYT
VY_32_INOVACE_29-11.pdf,https://drive.google.com/file/d/1PYXjUeNFUfRMO_VA70LONq2W0uOSjdNu/view?usp=drivesdk,Skenery,VYT
VY_32_INOVACE_37-08.pdf,https://drive.google.com/file/d/1xBtqn8FY0MB2yD6Lv5nyum_VMInQGYRn/view?usp=drivesdk,Pravítka a tabulátory,VYT
VY_32_INOVACE_29-10.pdf,https://drive.google.com/file/d/1J3TVtW2-5bNLqs7OPzctgU7Zyd6QUG7z/view?usp=drivesdk,Polohovací zařízení,VYT
